UserID,MovieID,Rating
1,213,4
1,235,1
1,194,2
1,246,5
1,16,4
1,226,2
1,249,4
1,6,3
1,181,4
1,120,4
1,186,3
1,34,4
1,180,3
1,136,1
1,69,3
1,200,5
1,222,5
1,103,2
1,209,3
1,139,1
1,75,5
1,164,2
1,151,4
1,144,2
1,102,5
1,243,1
1,43,4
1,193,3
1,221,4
1,101,3
2,243,2
2,207,1
2,249,4
2,180,2
2,161,3
2,113,4
2,55,5
2,165,1
2,76,5
2,172,5
2,2,3
2,31,5
2,47,4
2,95,1
2,188,1
2,81,3
2,190,1
2,240,4
2,183,2
2,173,3
2,167,4
2,128,4
2,222,2
2,206,4
2,171,3
2,247,1
2,68,4
2,61,4
2,30,3
3,210,5
3,126,5
3,181,1
3,197,2
3,233,3
3,209,1
3,40,1
3,5,1
3,244,3
3,166,1
3,72,5
3,200,2
3,184,3
3,153,3
3,10,5
3,83,1
3,245,4
3,218,3
3,61,3
3,43,5
3,140,2
3,178,5
3,122,5
3,186,1
3,198,1
3,159,4
3,217,1
3,141,4
3,157,5
3,215,2
4,204,2
4,56,4
4,221,5
4,95,1
4,230,5
4,155,2
4,228,2
4,247,2
4,62,1
4,224,4
4,199,1
4,205,5
4,163,5
4,81,5
4,13,5
4,147,2
4,216,5
4,31,3
4,9,3
4,243,5
4,92,5
4,57,4
4,191,5
4,48,5
4,61,2
4,143,2
4,200,4
4,183,2
4,37,5
4,4,1
5,119,3
5,125,1
5,25,2
5,69,2
5,33,5
5,137,3
5,73,4
5,13,4
5,175,4
5,72,2
5,123,4
5,54,3
5,60,4
5,227,2
5,127,4
5,138,3
5,200,2
5,184,3
5,26,4
5,14,3
5,179,4
5,122,1
5,191,3
5,71,4
5,220,2
5,109,3
5,12,4
5,75,5
5,98,2
5,250,3
6,166,1
6,62,5
6,18,1
6,113,5
6,142,5
6,22,1
6,178,5
6,61,2
6,96,2
6,185,4
6,165,2
6,27,4
6,242,2
6,44,4
6,231,5
6,90,2
6,101,4
6,145,1
6,163,3
6,24,4
6,135,1
6,197,4
6,12,4
6,174,1
6,196,3
6,64,4
6,210,2
6,95,1
6,214,2
6,41,4
7,184,5
7,80,2
7,21,1
7,140,5
7,50,1
7,210,1
7,46,5
7,15,2
7,28,5
7,98,4
7,3,1
7,220,5
7,191,2
7,172,1
7,141,1
7,43,4
7,170,1
7,66,2
7,29,1
7,94,5
7,4,3
7,75,5
7,215,3
7,83,2
7,219,3
7,192,1
7,74,3
7,11,5
7,227,2
7,237,2
8,214,5
8,180,3
8,237,1
8,204,5
8,176,4
8,208,3
8,196,2
8,230,3
8,231,3
8,194,4
8,120,4
8,127,5
8,105,2
8,77,1
8,83,1
8,246,5
8,60,3
8,7,1
8,157,2
8,167,1
8,165,5
8,150,1
8,248,5
8,227,1
8,168,1
8,153,4
8,144,5
8,202,2
8,38,2
8,170,3
9,226,3
9,190,3
9,106,1
9,47,2
9,185,4
9,135,5
9,231,2
9,239,2
9,157,2
9,183,5
9,94,5
9,80,1
9,17,2
9,114,3
9,45,5
9,240,3
9,81,4
9,119,2
9,230,5
9,211,3
9,165,5
9,116,3
9,250,2
9,233,5
9,133,1
9,223,4
9,173,4
9,244,3
9,238,2
9,148,3
10,183,4
10,227,3
10,27,4
10,122,3
10,113,3
10,9,3
10,137,3
10,81,4
10,178,4
10,100,1
10,68,1
10,245,1
10,114,3
10,247,1
10,231,2
10,228,4
10,172,4
10,36,2
10,99,3
10,180,5
10,46,2
10,195,4
10,62,4
10,123,2
10,171,3
10,145,4
10,199,5
10,116,1
10,186,4
10,179,4
11,10,3
11,214,4
11,12,3
11,42,4
11,161,5
11,23,5
11,59,1
11,118,3
11,148,1
11,181,5
11,50,3
11,17,2
11,207,5
11,128,4
11,246,5
11,80,3
11,47,5
11,122,4
11,15,4
11,236,3
11,240,5
11,227,3
11,121,4
11,247,1
11,48,5
11,89,3
11,40,1
11,113,2
11,102,3
11,83,2
12,208,3
12,162,2
12,174,5
12,83,5
12,58,2
12,12,2
12,138,3
12,169,1
12,161,3
12,201,3
12,212,5
12,114,2
12,149,5
12,66,3
12,50,1
12,167,5
12,199,4
12,136,2
12,64,3
12,153,3
12,225,5
12,79,3
12,246,3
12,94,3
12,244,3
12,146,3
12,192,1
12,123,1
12,130,2
12,247,3
13,58,2
13,134,2
13,35,1
13,119,5
13,108,2
13,92,5
13,161,3
13,159,2
13,151,3
13,223,5
13,34,3
13,166,4
13,88,1
13,242,1
13,137,5
13,52,3
13,243,5
13,158,1
13,77,5
13,154,5
13,237,1
13,57,4
13,89,1
13,186,2
13,48,5
13,6,1
13,145,4
13,82,4
13,202,3
13,142,1
14,41,2
14,69,2
14,222,5
14,25,1
14,32,4
14,205,1
14,76,1
14,131,3
14,91,2
14,250,4
14,6,4
14,154,1
14,118,4
14,236,2
14,5,4
14,18,1
14,47,3
14,212,1
14,165,2
14,217,5
14,81,5
14,192,2
14,59,2
14,2,1
14,16,4
14,249,2
14,238,1
14,203,4
14,247,5
14,34,4
15,36,5
15,73,4
15,200,4
15,189,3
15,236,5
15,220,3
15,17,3
15,221,1
15,42,2
15,91,5
15,49,4
15,20,2
15,121,3
15,39,2
15,71,2
15,129,2
15,44,3
15,156,3
15,87,1
15,172,3
15,75,5
15,209,2
15,246,3
15,60,5
15,27,5
15,230,3
15,202,5
15,158,5
15,51,5
16,87,4
16,89,5
16,144,3
16,112,2
16,54,1
16,158,1
16,183,4
16,217,5
16,137,4
16,228,1
16,178,3
16,103,1
16,200,1
16,43,2
16,62,5
16,194,5
16,219,3
16,168,1
16,36,2
16,245,3
16,119,2
16,72,3
16,29,5
16,113,3
16,223,2
16,118,2
16,81,4
16,145,1
16,201,3
16,85,2
17,3,5
17,154,2
17,180,2
17,68,4
17,95,4
17,61,4
17,44,5
17,162,2
17,127,5
17,117,1
17,2,5
17,43,4
17,70,2
17,46,2
17,69,2
17,80,3
17,174,1
17,210,1
17,150,3
17,206,3
17,160,3
17,51,4
17,146,3
17,102,2
17,182,4
17,197,1
17,191,2
17,201,4
17,181,2
18,163,5
18,215,4
18,73,1
18,112,5
18,86,4
18,23,1
18,208,4
18,93,3
18,127,5
18,78,5
18,27,1
18,7,2
18,25,1
18,145,5
18,30,3
18,15,3
18,52,5
18,130,1
18,154,5
18,161,1
18,241,2
18,29,3
18,195,4
18,194,4
18,144,3
18,168,2
18,135,1
18,46,1
18,160,2
18,220,5
19,125,1
19,32,2
19,236,4
19,192,3
19,143,5
19,107,1
19,80,2
19,36,1
19,115,3
19,237,3
19,197,2
19,118,4
19,1,5
19,15,2
19,193,4
19,42,3
19,227,5
19,12,4
19,136,1
19,221,4
19,28,5
19,38,5
19,200,4
19,98,3
19,52,5
19,141,2
19,248,2
19,44,5
19,186,3
19,82,1
20,26,2
20,167,2
20,25,4
20,193,2
20,249,2
20,57,3
20,243,3
20,195,3
20,170,3
20,47,2
20,41,3
20,194,4
20,121,5
20,174,1
20,80,1
20,134,3
20,7,2
20,143,4
20,144,3
20,59,4
20,178,5
20,93,3
20,233,4
20,50,1
20,68,4
20,236,1
20,227,4
20,206,4
20,218,4
20,106,1
1,1,5.0
1,2,2.9801953883636307
1,3,2.9370501881763924
1,4,2.078338997065936
1,5,2.626388739418432
1,7,1.6591782094288028
1,9,2.9999999999999996
1,10,3.9184410531587233
1,11,5.0
1,12,3.4142275350158093
1,13,4.479124828209745
1,14,3.0
1,15,2.740336968789632
1,17,2.324872134275329
1,18,1.0
1,20,2.0
1,21,1.0
1,22,1.0
1,23,2.9708518868945966
1,24,4.0
1,25,1.9147362524767735
1,26,3.0622082826519956
1,27,3.4841861777891032
1,28,5.0
1,29,2.7546412012613244
1,30,3.0000000000000004
1,31,4.0256669331610775
1,32,2.991568726311316
1,33,5.0
1,35,1.0
1,36,2.5142815027572514
1,37,5.0
1,38,3.5368871447478853
1,39,2.0
1,40,1.0
1,41,3.0119294052916947
1,42,3.006103004891507
1,44,4.253045129622672
1,45,5.0
1,46,2.5124014236913688
1,47,3.215648053547813
1,48,5.0
1,49,4.0
1,50,1.5188183086100169
1,51,4.501303539076166
1,52,4.439634036418793
1,54,2.1596953147845652
1,55,5.0
1,56,4.0
1,57,3.664216183955743
1,58,2.0
1,59,2.247101552723689
1,60,4.002806391626102
1,61,2.9964527332429807
1,62,3.747055612478933
1,64,3.5195674023580814
1,66,2.480432597641918
1,68,3.183766093961582
1,70,2.0
1,71,2.9921531648461097
1,72,3.2909565259701865
1,73,2.962683705172339
1,74,3.0
1,76,2.9281900581895832
1,77,2.8028586265301945
1,78,5.0
1,79,3.0
1,80,2.014048499127093
1,81,4.171057956376882
1,82,2.3157035586411174
1,83,2.2202223963840564
1,85,2.0
1,86,4.0
1,87,2.2490013022657447
1,88,1.0
1,89,2.921132095687763
1,90,2.0
1,91,3.4820438172072654
1,92,5.0
1,93,3.0000000000000004
1,94,4.36767188227863
1,95,1.7626861334794666
1,96,2.0
1,98,3.0243161745587908
1,99,2.9999999999999996
1,100,1.0
1,105,2.0
1,106,1.0
1,107,1.0
1,108,2.0
1,109,3.0
1,112,3.7855947669493433
1,113,3.428015294989505
1,114,2.6831733739636965
1,115,2.9999999999999996
1,116,2.003067513526501
1,117,1.0
1,118,3.356140314245234
1,119,2.9592883905579717
1,121,3.9546790914430012
1,122,3.1988985150063547
1,123,2.327868758008336
1,125,1.0
1,126,5.0
1,127,4.75509807795523
1,128,4.0
1,129,2.0
1,130,1.4829545454545454
1,131,3.0
1,133,1.0
1,134,2.516468864244411
1,135,2.3378152401838856
1,137,3.656685907345108
1,138,2.9999999999999996
1,140,3.651530771650466
1,141,2.226094126333724
1,142,3.2624057160093494
1,143,3.726805841874896
1,145,3.0893210784170937
1,146,2.9999999999999996
1,147,2.0
1,148,2.0196232460037638
1,149,5.000000000000001
1,150,2.0015864695073127
1,153,3.349621458718742
1,154,3.175637593495441
1,155,2.0
1,156,3.0
1,157,2.8899167701303443
1,158,2.582903309624482
1,159,3.030587759244299
1,160,2.486785763342008
1,161,2.9874818302545365
1,162,2.0
1,163,4.296926751518408
1,165,3.022024143490566
1,166,1.891493598504649
